dataset_name,model_variant,runs,best_val_acc_mean,best_val_acc_std,test_acc_mean,test_acc_std,labeled_ratio_mean,labeled_ratio_std
Airlines,tabular_mlp_baseline,4,0.628302402758723,0.0010728160106868475,0.5954869479773073,0.0004844965323700628,1.0,0.0
Electricity,tabular_mlp_baseline,3,0.6617008754505995,0.007275539649123184,0.707680423747517,0.008493914845351362,1.0,0.0
