track,phase,group,dataset,base_dataset_name,dataset_kind,seed,run_id,log_path,horizon,confirm_rule,perm_stat,perm_alpha,perm_pre_n,perm_post_n,perm_side,perm_n_perm,delta_k,acc_final,confirm_rate_per_10k,MTFA_win,miss_tol500,conf_P90
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,1,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed1/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed1.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89098,28.8,345.5104895104895,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,2,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed2/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed2.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88272,29.8,334.27027027027026,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,3,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed3/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed3.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88484,29.0,344.8888888888889,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,4,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed4/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed4.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8859,29.4,340.16438356164383,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,5,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed5/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed5.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89406,29.2,342.62068965517244,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,6,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed6/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed6.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88064,29.4,338.8493150684931,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,7,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed7/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed7.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88652,29.2,341.1862068965517,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,8,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed8/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed8.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8769,30.0,332.8859060402685,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,9,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed9/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed9.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88724,29.6,337.4149659863946,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,10,20260112-233718-fr7_A_weighted_n5__sea_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed10/20260112-233718-fr7_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed10.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88172,29.6,337.9591836734694,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,1,20260112-233718-fr7_A_weighted_n5__sine_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed1/20260112-233718-fr7_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed1.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8994,27.0,356.9230769230769,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,2,20260112-233718-fr7_A_weighted_n5__sine_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed2/20260112-233718-fr7_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed2.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9248,23.0,430.54545454545456,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,3,20260112-233718-fr7_A_weighted_n5__sine_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed3/20260112-233718-fr7_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed3.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9268,22.0,457.14285714285717,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,4,20260112-233718-fr7_A_weighted_n5__sine_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed4/20260112-233718-fr7_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed4.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9234,23.0,418.90909090909093,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,5,20260112-233718-fr7_A_weighted_n5__sine_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed5/20260112-233718-fr7_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed5.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8953,26.0,384.0,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,6,20260112-233718-fr7_A_weighted_n5__sine_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed6/20260112-233718-fr7_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed6.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9197,23.0,430.54545454545456,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,7,20260112-233718-fr7_A_weighted_n5__sine_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed7/20260112-233718-fr7_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed7.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9139,26.0,376.32,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,8,20260112-233718-fr7_A_weighted_n5__sine_nodrift,artifacts/v15p2/logs/logs_v15p2_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed8/20260112-233718-fr7_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed8.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9302,28.0,353.18518518518516,,
